sno,date,city,country,cases,deaths,id
1,1/22/2020,Anhui,China,1,0,covid19
2,1/22/2020,Beijing,China,14,0,covid19
3,1/22/2020,Chongqing,China,6,0,covid19
4,1/22/2020,Fujian,China,1,0,covid19
5,1/22/2020,Gansu,China,0,0,covid19
6,1/22/2020,Guangdong,China,26,0,covid19
7,1/22/2020,Guangxi,China,2,0,covid19
8,1/22/2020,Guizhou,China,1,0,covid19
9,1/22/2020,Hainan,China,4,0,covid19
10,1/22/2020,Hebei,China,1,0,covid19
11,1/22/2020,Heilongjiang,China,0,0,covid19
12,1/22/2020,Henan,China,5,0,covid19
13,1/22/2020,Hong Kong,Hong Kong,0,0,covid19
14,1/22/2020,Hubei,China,444,17,covid19
15,1/22/2020,Hunan,China,4,0,covid19
16,1/22/2020,Inner Mongolia,China,0,0,covid19
17,1/22/2020,Jiangsu,China,1,0,covid19
18,1/22/2020,Jiangxi,China,2,0,covid19
19,1/22/2020,Jilin,China,0,0,covid19
20,1/22/2020,Liaoning,China,2,0,covid19
21,1/22/2020,Macau,Macau,1,0,covid19
22,1/22/2020,Ningxia,China,1,0,covid19
23,1/22/2020,Qinghai,China,0,0,covid19
24,1/22/2020,Shaanxi,China,0,0,covid19
25,1/22/2020,Shandong,China,2,0,covid19
26,1/22/2020,Shanghai,China,9,0,covid19
27,1/22/2020,Shanxi,China,1,0,covid19
28,1/22/2020,Sichuan,China,5,0,covid19
29,1/22/2020,Taiwan,Taiwan,1,0,covid19
30,1/22/2020,Tianjin,China,4,0,covid19
31,1/22/2020,Tibet,China,0,0,covid19
32,1/22/2020,Washington,United States,1,0,covid19
33,1/22/2020,Xinjiang,China,0,0,covid19
34,1/22/2020,Yunnan,China,1,0,covid19
35,1/22/2020,Zhejiang,China,10,0,covid19
36,1/22/2020,,Japan,2,0,covid19
37,1/22/2020,,Thailand,2,0,covid19
38,1/22/2020,,South Korea,1,0,covid19
39,1/23/2020,Anhui,China,9,0,covid19
40,1/23/2020,Beijing,China,22,0,covid19
41,1/23/2020,Chongqing,China,9,0,covid19
42,1/23/2020,Fujian,China,5,0,covid19
43,1/23/2020,Gansu,China,2,0,covid19
44,1/23/2020,Guangdong,China,32,0,covid19
45,1/23/2020,Guangxi,China,5,0,covid19
46,1/23/2020,Guizhou,China,3,0,covid19
47,1/23/2020,Hainan,China,5,0,covid19
48,1/23/2020,Hebei,China,1,1,covid19
49,1/23/2020,Heilongjiang,China,2,0,covid19
50,1/23/2020,Henan,China,5,0,covid19
51,1/23/2020,Hong Kong,Hong Kong,2,0,covid19
52,1/23/2020,Hubei,China,444,17,covid19
53,1/23/2020,Hunan,China,9,0,covid19
54,1/23/2020,Inner Mongolia,China,0,0,covid19
55,1/23/2020,Jiangsu,China,5,0,covid19
56,1/23/2020,Jiangxi,China,7,0,covid19
57,1/23/2020,Jilin,China,1,0,covid19
58,1/23/2020,Liaoning,China,3,0,covid19
59,1/23/2020,Macau,Macau,2,0,covid19
60,1/23/2020,Ningxia,China,1,0,covid19
61,1/23/2020,Qinghai,China,0,0,covid19
62,1/23/2020,Shaanxi,China,3,0,covid19
63,1/23/2020,Shandong,China,6,0,covid19
64,1/23/2020,Shanghai,China,16,0,covid19
65,1/23/2020,Shanxi,China,1,0,covid19
66,1/23/2020,Sichuan,China,8,0,covid19
67,1/23/2020,Taiwan,Taiwan,1,0,covid19
68,1/23/2020,Tianjin,China,4,0,covid19
69,1/23/2020,Tibet,China,0,0,covid19
70,1/23/2020,Washington,United States,1,0,covid19
71,1/23/2020,Xinjiang,China,2,0,covid19
72,1/23/2020,Yunnan,China,2,0,covid19
73,1/23/2020,Zhejiang,China,27,0,covid19
74,1/23/2020,,Japan,1,0,covid19
75,1/23/2020,,Thailand,3,0,covid19
76,1/23/2020,,South Korea,1,0,covid19
77,1/23/2020,,Singapore,1,0,covid19
78,1/23/2020,,Philippines,0,0,covid19
79,1/23/2020,,Malaysia,0,0,covid19
80,1/23/2020,,Vietnam,2,0,covid19
81,1/23/2020,,Australia,0,0,covid19
82,1/23/2020,,Mexico,0,0,covid19
83,1/23/2020,,Brazil,0,0,covid19
84,1/23/2020,,Colombia,0,0,covid19
85,1/24/2020,Hubei,China,549,24,covid19
86,1/24/2020,Guangdong,China,53,0,covid19
87,1/24/2020,Zhejiang,China,43,0,covid19
88,1/24/2020,Beijing,China,36,0,covid19
89,1/24/2020,Chongqing,China,27,0,covid19
90,1/24/2020,Hunan,China,24,0,covid19
91,1/24/2020,Guangxi,China,23,0,covid19
92,1/24/2020,Shanghai,China,20,0,covid19
93,1/24/2020,Jiangxi,China,18,0,covid19
94,1/24/2020,Sichuan,China,15,0,covid19
95,1/24/2020,Shandong,China,15,0,covid19
96,1/24/2020,Anhui,China,15,0,covid19
97,1/24/2020,Fujian,China,10,0,covid19
98,1/24/2020,Henan,China,9,0,covid19
99,1/24/2020,Jiangsu,China,9,0,covid19
100,1/24/2020,Hainan,China,8,0,covid19
101,1/24/2020,Tianjin,China,8,0,covid19
102,1/24/2020,Yunnan,China,5,0,covid19
