Pandemic,Country,year,Cases,Deaths,lon,lat
h1n1,Algeria,2009,19,0.0,2.61732301,28.15893849
h1n1,Antigua and Barbuda,2009,12,0.0,-61.79469343,17.277499600000002
h1n1,Argentina,2009,14233,175.0,-65.17980692,-35.3813488
h1n1,Australia,2009,39497,39.0,123.58383789,-12.42993164
h1n1,Australia,2009,39497,39.0,134.49100008,-25.73288704
h1n1,Australia,2009,39497,39.0,73.52051709999998,-53.08724656
h1n1,Australia,2009,39497,39.0,104.85189795,-10.6478515
h1n1,Australia,2009,39497,39.0,167.94921678,-29.0514609
h1n1,Austria,2009,149,0.0,14.1264761,47.58549439
h1n1,Bahamas,2009,46,0.0,,
h1n1,Bahrain,2009,139,0.0,50.54196932,26.04205135
h1n1,Bangladesh,2009,35,0.0,90.23812743,23.86731158
h1n1,Barbados,2009,84,0.0,-59.559797,13.18145428
h1n1,Belgium,2009,473,0.0,4.64065114,50.63981576
h1n1,"Bermuda, UKOT",2009,9,0.0,,
h1n1,Bolivia,2009,1200,0.0,-64.68538645,-16.70814787
h1n1,Bosnia and Hezegovina,2009,2,0.0,,
h1n1,Brazil,2009,3973,3.0,-53.09783113,-10.78777702
h1n1,"British Virgin Islands, UKOT",2009,11,0.0,,
h1n1,Brunei Darussalam,2009,283,0.0,,
h1n1,Bulgaria,2009,67,0.0,25.21552909,42.76890318
h1n1,Cambodia,2009,32,0.0,104.90694325,12.72004786
h1n1,Canada,2009,81685,194.0,-98.30777028,61.36206324
h1n1,Cap Verde,2009,18,0.0,,
h1n1,"Cayman Islands, UKOT",2009,86,0.0,,
h1n1,Chile,2009,53937,76.0,-71.38256213,-37.73070989
h1n1,China,2009,11687,0.0,103.81907349,36.56176546
h1n1,China,2009,11687,0.0,114.11380454,22.39827737
h1n1,China,2009,11687,0.0,113.50932116,22.22311688
h1n1,Colombia,2009,1037,19.0,-73.08114582,3.91383431
h1n1,Cook Island,2009,1,0.0,,
h1n1,Costa Rica,2009,2444,24.0,-84.19208768,9.97634464
h1n1,Costa Rica*,2009,227,2.0,,
h1n1,Cote d'Ivoire,2009,12,0.0,,
