Country,year,Cases,Deaths,lon,lat
Algeria,2009,19,0,2.61732301,28.15893849
Antigua and Barbuda,2009,12,0,-61.79469343,17.2774996
Argentina,2009,14233,175,-65.17980692,-35.3813488
Australia,2009,39497,39,123.5838379,-12.42993164
Australia,2009,39497,39,134.4910001,-25.73288704
Australia,2009,39497,39,73.5205171,-53.08724656
Australia,2009,39497,39,104.851898,-10.6478515
Australia,2009,39497,39,167.9492168,-29.0514609
Austria,2009,149,0,14.1264761,47.58549439
Bahamas,2009,46,0,,
Bahrain,2009,139,0,50.54196932,26.04205135
Bangladesh,2009,35,0,90.23812743,23.86731158
Barbados,2009,84,0,-59.559797,13.18145428
Belgium,2009,473,0,4.64065114,50.63981576
"Bermuda, UKOT",2009,9,0,,
Bolivia,2009,1200,0,-64.68538645,-16.70814787
Bosnia and Hezegovina,2009,2,0,,
Brazil,2009,3973,3,-53.09783113,-10.78777702
"British Virgin Islands, UKOT",2009,11,0,,
Brunei Darussalam,2009,283,0,,
Bulgaria,2009,67,0,25.21552909,42.76890318
Cambodia,2009,32,0,104.9069433,12.72004786
Canada,2009,81685,194,-98.30777028,61.36206324
Cap Verde,2009,18,0,,
"Cayman Islands, UKOT",2009,86,0,,
Chile,2009,53937,76,-71.38256213,-37.73070989
China,2009,11687,0,103.8190735,36.56176546
China,2009,11687,0,114.1138045,22.39827737
China,2009,11687,0,113.5093212,22.22311688
Colombia,2009,1037,19,-73.08114582,3.91383431
Cook Island,2009,1,0,,
Costa Rica,2009,2444,24,-84.19208768,9.97634464
Costa Rica*,2009,227,2,,
Cote d'Ivoire,2009,12,0,,
Croatia,2009,1,0,16.40412899,45.08047631
Cuba,2009,383,0,-79.01605384,21.62289528
Cyprus,2009,280,0,33.0060022,34.91667211
Czech Republic,2009,101,0,15.31240163,49.73341233
Denmark,2009,422,0,10.02800992,55.98125296
Denmark,2009,422,0,-6.88095423,62.05385403
Denmark,2009,422,0,-41.34191127,74.71051289
Dominica,2009,14,0,-61.357726,15.4394702
Dominican Republic,2009,1385,20,-70.50568896,18.89433082
Ecuador,2009,1719,0,-78.75201922,-1.42381612
Egypt,2009,488,0,29.86190099,26.49593311
El Salvador,2009,2317,0,-88.87164469,13.73943744
Estonia,2009,103,0,25.54248537,58.67192972
Ethiopia,2009,14,0,39.60080098,8.62278679
Fiji,2009,13,0,165.4519543,-17.42858032
Finland,2009,274,0,19.95328768,60.21488688
Finland,2009,274,0,26.2746656,64.49884603
France,2009,2417,0,69.22666758,-49.24895485
France,2009,2417,0,-62.84067779,17.89880451
France,2009,2417,0,-2.76172945,42.17344011
France,2009,2417,0,-63.05972851,18.08888611
France,2009,2417,0,165.6849237,-21.29991806
France,2009,2417,0,-144.9049439,-14.72227409
France,2009,2417,0,-56.30319779,46.91918789
France,2009,2417,0,-177.3483483,-13.88737039
"France, French Polynesia, FOC",2009,1,0,,
"France, Martinique, FOC",2009,1,0,,
Germany,2009,3787,0,10.38578051,51.10698181
Grand Total,2009,785800,3774,,
Greece,2009,735,0,22.95555794,39.07469623
Guatemala,2009,525,3,-90.36482009,15.69403664
Guatemala ,2009,1915,13,,
Guyana,2009,2,0,-58.98202459,4.79378034
Honduras,2009,1466,5,-86.6151661,14.82688165
Hungary,2009,96,0,19.39559116,47.16277506
