Country,year,Cases,Deaths
Algeria,2009,19,0.0
Antigua and Barbuda,2009,12,0.0
Argentina,2009,14233,175.0
Australia,2009,39497,39.0
Austria,2009,149,0.0
Bahamas,2009,46,0.0
Bahrain,2009,139,0.0
Bangladesh,2009,35,0.0
Barbados,2009,84,0.0
Belgium,2009,473,0.0
"Bermuda, UKOT",2009,9,0.0
Bolivia,2009,1200,0.0
Bosnia and Hezegovina,2009,2,0.0
Brazil,2009,3973,3.0
"British Virgin Islands, UKOT",2009,11,0.0
Brunei Darussalam,2009,283,0.0
Bulgaria,2009,67,0.0
Cambodia,2009,32,0.0
Canada,2009,81685,194.0
Cap Verde,2009,18,0.0
"Cayman Islands, UKOT",2009,86,0.0
Chile,2009,53937,76.0
China,2009,11687,0.0
Colombia,2009,1037,19.0
Cook Island,2009,1,0.0
Costa Rica,2009,2444,24.0
Costa Rica*,2009,227,2.0
Cote d'Ivoire,2009,12,0.0
Croatia,2009,1,0.0
Cuba,2009,383,0.0
Cyprus,2009,280,0.0
Czech Republic,2009,101,0.0
Denmark,2009,422,0.0
Dominica,2009,14,0.0
Dominican Republic,2009,1385,20.0
Ecuador,2009,1719,0.0
Egypt,2009,488,0.0
El Salvador,2009,2317,0.0
Estonia,2009,103,0.0
Ethiopia,2009,14,0.0
Fiji,2009,13,0.0
Finland,2009,274,0.0
France,2009,2417,0.0
"France, French Polynesia, FOC",2009,1,0.0
"France, Martinique, FOC",2009,1,0.0
Germany,2009,3787,0.0
Grand Total,2009,785800,3774.0
Greece,2009,735,0.0
Guatemala,2009,525,3.0
Guatemala ,2009,1915,13.0
Guyana,2009,2,0.0
Honduras,2009,1466,5.0
Hungary,2009,96,0.0
Iceland,2009,57,0.0
India,2009,686,0.0
Indonesia,2009,46,0.0
Iran,2009,4,0.0
"Iran, Islamic Republic",2009,1,0.0
Iraq,2009,44,0.0
Ireland,2009,390,0.0
Israel,2009,4179,0.0
Italy,2009,1432,0.0
Jamaica,2009,249,0.0
Japan,2009,15334,0.0
Jordan,2009,130,0.0
Kenya,2009,28,0.0
"Korea, Republic of",2009,1781,0.0
Kuwait,2009,468,0.0
Laos,2009,23,0.0
Latvia,2009,6,0.0
Lebanon,2009,286,0.0
Libya,2009,1,0.0
Lithuania,2009,8,0.0
Luxembourg,2009,37,0.0
Malaysia,2009,688,0.0
Malta,2009,26,0.0
Mauritius,2009,9,0.0
Mexico,2009,142567,2271.0
Monaco,2009,1,0.0
Montenegro,2009,26,0.0
Morocco,2009,94,0.0
Morocco *,2009,6,0.0
Myanmar,2009,3,0.0
Nepal,2009,16,0.0
Netherlands,2009,1171,0.0
"Netherlands, Curacao, OT",2009,1,0.0
New Zealand,2009,4957,3.0
Nicaragua,2009,2345,0.0
Norway,2009,330,0.0
Oman,2009,25,0.0
Palau,2009,2,0.0
Panama,2009,5176,0.0
Papua New Guinea,2009,8,0.0
Paraguay,2009,738,1.0
Peru,2009,3856,0.0
Philippines,2009,7269,6.0
Poland,2009,185,0.0
Portugal,2009,145,0.0
Qatar,2009,87,0.0
Romania,2009,291,0.0
Russia,2009,59,0.0
Saint Lucia,2009,3,0.0
Samoa,2009,9,0.0
Saudi Arabia,2009,536,0.0
Serbia,2009,49,0.0
Singapore,2009,4157,0.0
Slovakia,2009,101,0.0
Slovenia,2009,32,0.0
South Africa,2009,36,0.0
Spain,2009,8614,3.0
Sri Lanka,2009,78,0.0
Suriname,2009,88,0.0
Sweden,2009,678,0.0
Switzerland,2009,555,0.0
Syria,2009,1,0.0
Thailand,2009,8726,13.0
The former Yugoslav Republic of Macedonia,2009,2,0.0
Trinidad and Tobago,2009,330,0.0
Tunisia,2009,17,0.0
Turkey,2009,323,0.0
Uganda,2009,2,0.0
Ukraine,2009,13,0.0
United Arab Emirates,2009,51,0.0
United Kingdom,2009,43708,15.0
"United Kingdom, Isle of Man, Crown Dependency",2009,1,0.0
"United Kingdom, Jersey, Crown Dependency",2009,1,0.0
United States of America,2009,340804,1150.0
United States of America*,2009,17855,44.0
Uruguay,2009,1458,6.0
Vanuatu,2009,11,0.0
Venezuela,2009,1327,0.0
Viet Nam,2009,822,0.0
West Bank and Gaza Strip,2009,146,0.0
Yemen,2009,50,0.0
"    France, New Caledonia, FOC",2009,12,0.0
"    French Polynesia, FOC",2009,11,0.0
"    Martinique, FOC",2009,12,0.0
"     French Polynesia, FOC",2009,4,0.0
"     Guadaloupe, FOC",2009,2,0.0
"     Guernsey, Crown Dependency",2009,17,0.0
"     Isle of Man, Crown Dependency",2009,8,0.0
"     Jersey, Crown Dependency",2009,51,0.0
"     Martinique, FOC",2009,3,0.0
"     Netherlands Antilles, Curaçao",2009,23,0.0
"     Netherlands Antilles, Curaçao *",2009,12,0.0
"     Netherlands Antilles, Curaçao **",2009,3,0.0
"     Netherlands Antilles, Sint Maarten",2009,26,0.0
"     Netherlands, Aruba",2009,10,0.0
"     New Caledonia, FOC",2009,12,0.0
     Puerto Rico,2009,18,0.0
"     Saint Martin, FOC",2009,1,0.0
     Virgin Islands,2009,1,0.0
