Pandemic,Country,Year,Cases,Deaths,Lon,Lat,population
Swineflu-W,United States of America,2009,"113,690","3,433",-112.46167369999999,45.6795472,306307565000.0
Swineflu-W,Brazil,2009,"58,178","2,135",-53.09783113,-10.78777702,193886505000.0
Swineflu-W,India,2009,"33,783","2,024",79.61197609999999,22.88578212,1217726217000.0
Swineflu-W,Mexico,2009,"70,715","1,316",-102.52345169,23.94753724,112463886000.0
Swineflu-W,China,2009,"120,940",800,103.81907349,36.56176546,1361169410000.0
Swineflu-W,Turkey,2009,"12,316",656,35.16895346,39.0616029,71321406000.0
Swineflu-W,Argentina,2009,"11,458",626,-65.17980692,-35.3813488,40482786000.0
Swineflu-W,Russian Federation,2009,"25,339",604,96.68656112,61.98052209,143326904000.0
Swineflu-W,United Kingdom,2009,"28,456",0,-2.86563164,54.12387156,62828620000.0
Swineflu-W,Canada,2009,"25,828",429,-98.30777028,61.36206324,33746093000.0
Swineflu-W,France,2009,"1,980,000",344,-2.76172945,42.17344011,62542883000.0
Swineflu-W,Spain,2009,"1,538",300,-3.64755047,40.24448698,46583566000.0
Swineflu-W,Egypt,2009,"15,812",278,29.86190099,26.49593311,81134789000.0
Swineflu-W,Germany,2009,"222,360",258,10.38578051,51.10698181,80899961000.0
Swineflu-W,Republic of Korea,2009,"107,939",250,127.83916086,36.38523983,49347450000.0
Swineflu-W,Thailand,2009,"31,902",249,101.0028813,15.11815794,66866834000.0
Swineflu-W,Italy,2009,"3,064,933",244,12.07001339,42.79662641,59105622000.0
Swineflu-W,Colombia,2009,"4,310",272,-73.08114582,3.91383431,44750054000.0
Swineflu-W,Peru,2009,"9,165",223,-74.38242685,-9.15280381,28792662999.999996
Swineflu-W,Ukraine,2009,494,213,31.38326469,48.99656673,45970942000.0
Swineflu-W,Ecuador,2009,"2,251",200,-78.75201922,-1.42381612,14774412000.0
Swineflu-W,Japan,2009,"11,636",198,138.03089558,37.59230135,128555196000.0
Swineflu-W,Australia,2009,"37,484",187,134.49100008,-25.73288704,21750852000.000004
Swineflu-W,Poland,2009,"2,024",181,19.39012835,52.12759564,38351924000.0
Swineflu-W,Chile,2009,"12,258",156,-71.38256213,-37.73070989,16886183999.999996
Swineflu-W,Syrian Arab Republic,2009,452,152,38.50788204,35.02547389,21205873000.0
Swineflu-W,Greece,2009,"17,977",149,22.95555794,39.07469623,10959268000.0
Swineflu-W,Iran (Islamic Republic of),2009,"3,672",147,54.27407004,32.57503292,72924833000.0
Swineflu-W,Venezuela (Bolivarian Republic of),2009,"2,187",135,-66.18184123,7.12422421,28031010000.0
Swineflu-W,Hungary,2009,283,134,19.39559116,47.16277506,9959439000.0
Swineflu-W,Saudi Arabia,2009,"14,500",128,44.53686271,24.12245841,26630303000.0
Swineflu-W,Portugal,2009,"166,922",122,-8.50104361,39.59550671,10604066000.0
Swineflu-W,Romania,2009,"7,006",122,24.97293039,45.85243127,20637995000.0
Swineflu-W,Czechia,2009,"2,445",102,15.31240163,49.73341233,10488155000.0
Swineflu-W,Israel,2009,"4,330",94,35.00444693,31.46110101,7190036999.999999
Swineflu-W,South Africa,2009,"12,640",93,25.08390093,-29.00034095,50477013000.0
Swineflu-W,Malaysia,2009,"12,210",92,109.69762284,3.78986846,27735037999.999996
Swineflu-W,Belarus,2009,102,88,28.03209307,53.53131377,9433159000.0
Swineflu-W,Serbia,2009,695,83,20.78958334,44.2215032,9023354000.0
Swineflu-W,Cuba,2009,973,69,-79.01605384,21.62289528,11226711000.000002
Swineflu-W,Costa Rica,2009,"1,867",67,-84.19208768,9.97634464,4520739000.000001
Swineflu-W,Morocco,2009,"2,890",64,-8.45615795,29.83762955,31929087000.000004
Swineflu-W,Netherlands,2009,"1,473",62,5.28144793,52.100789899999995,16626379000.0
Swineflu-W,Bolivia (Plurinational State of),2009,"2,310",59,-64.68538645,-16.70814787,9884790000.0
Swineflu-W,Viet Nam,2009,"11,186",58,106.29914698,16.646016699999997,87092250000.0
Swineflu-W,Algeria,2009,916,57,2.61732301,28.15893849,35333882000.00001
Swineflu-W,Finland,2009,"6,122",56,26.274665600000002,64.49884603,5342266000.0
Swineflu-W,Slovakia,2009,955,56,19.47905218,48.70547528,5401149000.0
Swineflu-W,Paraguay,2009,855,54,-58.40013703,-23.22823913,6163970000.0
Swineflu-W,New Zealand,2009,"3,199",50,171.48492347,-41.81113557,4323338000.0
Swineflu-W,"China, Taiwan Province of China",2009,"5,474",48,120.95427281,23.753992800000002,23104542000.0
Swineflu-W,Sri Lanka,2009,642,48,80.70108238,7.61266509,20123508000.0
Swineflu-W,Iraq,2009,"2,880",42,43.74353149,33.03970582,28973157000.000004
Swineflu-W,Austria,2009,964,40,14.1264761,47.58549439,8372658000.000001
Swineflu-W,Bulgaria,2009,766,40,25.21552909,42.76890318,7473509000.0
Swineflu-W,Latvia,2009,"1,253",34,24.91235983,56.85085163,2144784000.0
Swineflu-W,Oman,2009,"6,349",33,56.09166155,20.60515333,2876185999.9999995
Swineflu-W,Georgia,2009,"1,300",33,43.50780252,42.16855755,4119490000.0
Swineflu-W,El Salvador,2009,834,33,-88.87164469,13.73943744,6157678000.000001
