Country,Type,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WORLD,World,6872766.988,6956823.588,7041194.16799999,7125827.957,7210582.041,7295290.759,7379796.967,7464021.934,7547858.9,7631091.113,7713468.20500001,7794798.729
Burundi,Country/Area,8397.661,8675.606,8958.406,9245.992,9540.302,9844.301,10160.034,10488.002,10827.01,11175.379,11530.577,11890.781
Comoros,Country/Area,673.251,689.696,706.578,723.865,741.511,759.39,777.435,795.597,813.89,832.322,850.891,869.595
Djibouti,Country/Area,827.82,840.194,853.671,868.136,883.296,898.707,913.998,929.117,944.1,958.923,973.557,988.002
Eritrea,Country/Area,3119.92,3170.437,3213.969,3250.104,3281.453,3311.444,3342.818,3376.558,3412.894,3452.797,3497.117,3546.427
Ethiopia,Country/Area,85233.923,87639.962,90139.928,92726.982,95385.793,98094.264,100835.453,103603.461,106399.926,109224.41,112078.727,114963.583
Kenya,Country/Area,40901.798,42030.684,43178.27,44343.469,45519.986,46700.063,47878.339,49051.531,50221.146,51392.57,52573.967,53771.3
Madagascar,Country/Area,20569.115,21151.64,21743.97,22346.641,22961.259,23589.897,24234.08,24894.37,25570.511,26262.313,26969.306,27691.019
Malawi,Country/Area,14128.161,14539.609,14962.118,15396.01,15839.287,16289.55,16745.305,17205.253,17670.193,18143.215,18628.749,19129.955
Mauritius,Country/Area,1243.996,1247.953,1251.074,1253.489,1255.458,1257.351,1259.457,1261.87,1264.497,1267.184,1269.67,1271.767
Mayotte,Country/Area,202.494,208.716,214.937,221.147,227.376,233.658,240.011,246.46,252.962,259.526,266.153,272.813
Mozambique,Country/Area,22894.718,23531.567,24187.5,24862.673,25560.752,26286.192,27042.001,27829.93,28649.007,29496.009,30366.043,31255.435
Réunion,Country/Area,823.529,830.507,837.336,843.984,850.506,856.96,863.359,869.742,876.131,882.531,888.932,895.308
Rwanda,Country/Area,9782.77,10039.338,10293.333,10549.668,10811.538,11083.629,11369.066,11668.829,11980.96,12301.969,12626.938,12952.209
Seychelles,Country/Area,90.788,91.273,91.882,92.608,93.397,94.214,94.981,95.711,96.418,97.094,97.741,98.34
Somalia,Country/Area,11717.691,12043.886,12376.305,12715.487,13063.711,13423.571,13797.204,14185.635,14589.165,15008.225,15442.906,15893.219
South Sudan,Country/Area,9142.258,9508.372,9830.695,10113.648,10355.03,10554.882,10715.657,10832.52,10910.774,10975.924,11062.114,11193.729
Uganda,Country/Area,31411.096,32428.164,33476.772,34558.7,35694.519,36911.53,38225.447,39649.173,41166.588,42729.032,44269.587,45741
United Republic of Tanzania,Country/Area,43073.83,44346.532,45673.52,47053.033,48483.132,49960.563,51482.638,53049.231,54660.345,56313.444,58005.461,59734.213
Zambia,Country/Area,13215.142,13605.986,14023.199,14465.148,14926.551,15399.793,15879.37,16363.449,16853.608,17351.714,17861.034,18383.956
Zimbabwe,Country/Area,12526.964,12697.728,12894.323,13115.149,13350.378,13586.71,13814.642,14030.338,14236.599,14438.812,14645.473,14862.927
Angola,Country/Area,22514.275,23356.247,24220.66,25107.925,26015.786,26941.773,27884.38,28842.482,29816.769,30809.787,31825.299,32866.268
Cameroon,Country/Area,19789.922,20341.236,20906.392,21485.267,22077.3,22681.853,23298.376,23926.549,24566.07,25216.261,25876.387,26545.864
Central African Republic,Country/Area,4337.623,4386.765,4418.639,4436.411,4447.945,4464.171,4493.171,4537.683,4596.023,4666.375,4745.179,4829.764
Chad,Country/Area,11560.142,11952.134,12360.986,12784.748,13220.433,13663.562,14110.971,14561.658,15016.761,15477.727,15946.882,16425.859
Congo,Country/Area,4145.4,4273.738,4394.842,4510.197,4622.757,4736.965,4856.093,4980.996,5110.701,5244.363,5380.504,5518.092
Democratic Republic of the Congo,Country/Area,62448.572,64563.853,66755.151,69020.749,71358.804,73767.445,76244.532,78789.13,81398.765,84068.092,86790.568,89561.404
Equatorial Guinea,Country/Area,901.589,943.64,986.861,1031.191,1076.412,1122.273,1168.575,1215.181,1262.008,1308.966,1355.982,1402.985
Gabon,Country/Area,1568.925,1624.146,1684.629,1749.677,1817.07,1883.801,1947.69,2007.882,2064.812,2119.275,2172.578,2225.728
Sao Tome and Principe,Country/Area,175.877,180.372,184.521,188.394,192.076,195.727,199.439,203.221,207.086,211.032,215.048,219.161
Botswana,Country/Area,1953.495,1987.106,2015.406,2039.551,2062.551,2088.619,2120.716,2159.925,2205.076,2254.067,2303.703,2351.625
Eswatini,Country/Area,1057.462,1064.841,1072.029,1079.285,1086.843,1095.022,1104.038,1113.994,1124.808,1136.274,1148.133,1160.164
Lesotho,Country/Area,1990.135,1995.575,2003.793,2014.988,2028.528,2043.448,2059.011,2075.041,2091.532,2108.327,2125.267,2142.252
Namibia,Country/Area,2081.039,2118.877,2156.698,2194.777,2233.506,2273.426,2314.901,2358.044,2402.623,2448.3,2494.524,2540.916
South Africa,Country/Area,50477.013,51216.967,52003.759,52832.659,53687.125,54544.184,55386.369,56207.649,57009.751,57792.52,58558.267,59308.69
Benin,Country/Area,8944.713,9199.254,9460.829,9729.254,10004.594,10286.839,10575.962,10872.072,11175.192,11485.035,11801.151,12123.198
Burkina Faso,Country/Area,15141.098,15605.211,16081.915,16571.252,17072.791,17586.029,18110.616,18646.35,19193.236,19751.466,20321.383,20903.278
Cabo Verde,Country/Area,486.667,492.644,498.858,505.241,511.74,518.276,524.74,531.14,537.499,543.764,549.936,555.988
Côte d'Ivoire,Country/Area,20059.147,20532.944,21028.652,21547.188,22087.506,22647.672,23226.148,23822.726,24437.475,25069.226,25716.554,26378.275
Gambia,Country/Area,1740.277,1793.199,1848.142,1905.02,1963.708,2024.037,2085.86,2149.134,2213.9,2280.092,2347.696,2416.664
Ghana,Country/Area,24170.943,24779.614,25387.713,25996.454,26607.641,27224.48,27849.203,28481.947,29121.464,29767.108,30417.858,31072.945
Guinea,Country/Area,9964.47,10192.168,10420.459,10652.032,10892.821,11150.97,11432.096,11738.434,12067.516,12414.292,12771.246,13132.792
Guinea-Bissau,Country/Area,1483.92,1522.603,1562.996,1604.981,1648.259,1692.433,1737.207,1782.434,1828.146,1874.304,1920.917,1967.998
Liberia,Country/Area,3754.129,3891.357,4017.446,4135.662,4248.337,4359.508,4472.229,4586.788,4702.224,4818.976,4937.374,5057.677
Mali,Country/Area,14581.427,15049.352,15514.593,15979.492,16449.854,16934.213,17438.772,17965.448,18512.429,19077.755,19658.023,20250.834
Mauritania,Country/Area,3393.408,3494.2,3598.646,3706.555,3817.497,3930.894,4046.304,4163.532,4282.582,4403.312,4525.698,4649.66
Niger,Country/Area,15843.131,16464.025,17114.77,17795.209,18504.287,19240.182,20001.663,20788.789,21602.388,22442.831,23310.719,24206.636
Nigeria,Country/Area,154324.939,158503.203,162805.08,167228.803,171765.819,176404.931,181137.454,185960.244,190873.247,195874.685,200963.603,206139.587
Saint Helena,Country/Area,5.135,5.183,5.281,5.416,5.583,5.737,5.869,5.958,6.008,6.039,6.061,6.071
Senegal,Country/Area,12335.092,12678.143,13033.814,13401.99,13782.429,14174.74,14578.45,14993.514,15419.354,15854.324,16296.362,16743.93
Sierra Leone,Country/Area,6272.735,6415.636,6563.238,6712.586,6863.975,7017.153,7171.909,7328.846,7488.427,7650.149,7813.207,7976.985
Togo,Country/Area,6250.84,6421.674,6595.939,6773.807,6954.721,7137.997,7323.162,7509.952,7698.476,7889.095,8082.359,8278.737
Algeria,Country/Area,35333.882,35977.451,36661.438,37383.899,38140.135,38923.688,39728.02,40551.398,41389.174,42228.415,43053.054,43851.043
Egypt,Country/Area,81134.789,82761.244,84529.251,86422.24,88404.652,90424.668,92442.549,94447.071,96442.59,98423.602,100388.076,102334.403
Libya,Country/Area,6133.987,6197.667,6247.438,6285.751,6320.35,6362.039,6418.315,6492.16,6580.723,6678.565,6777.453,6871.287
Morocco,Country/Area,31929.087,32343.384,32781.86,33241.898,33715.705,34192.358,34663.608,35126.274,35581.257,36029.089,36471.766,36910.558
Sudan,Country/Area,33783.779,34545.014,35349.676,36193.781,37072.555,37977.657,38902.948,39847.433,40813.398,41801.532,42813.237,43849.269
Tunisia,Country/Area,10525.691,10635.245,10741.872,10846.993,10952.949,11063.195,11179.951,11303.942,11433.438,11565.203,11694.721,11818.618
Western Sahara,Country/Area,474.045,480.268,487.654,495.773,504.858,514.984,526.211,538.744,552.617,567.396,582.458,597.33
Armenia,Country/Area,2888.094,2877.314,2876.536,2884.239,2897.593,2912.403,2925.559,2936.147,2944.789,2951.741,2957.728,2963.234
Azerbaijan,Country/Area,8924.383,9032.465,9146.277,9264.684,9385.467,9505.616,9622.741,9736.041,9845.316,9949.537,10047.719,10139.175
Bahrain,Country/Area,1185.075,1240.864,1278.153,1299.942,1315.029,1336.073,1371.853,1425.793,1494.077,1569.44,1641.164,1701.583
Cyprus,Country/Area,1098.089,1112.617,1124.837,1135.046,1143.866,1152.297,1160.987,1170.189,1179.685,1189.262,1198.574,1207.361
Georgia,Country/Area,4119.49,4099.096,4081.012,4064.097,4048.701,4035.31,4024.18,4015.457,4008.723,4002.946,3996.762,3989.175
Iraq,Country/Area,28973.157,29741.977,30725.305,31890.012,33157.061,34411.949,35572.269,36610.632,37552.789,38433.604,39309.789,40222.503
Israel,Country/Area,7190.037,7346.446,7487.095,7614.946,7734.834,7854.216,7978.496,8108.984,8243.849,8381.507,8519.373,8655.541
Jordan,Country/Area,6893.258,7261.541,7662.858,8089.963,8518.992,8918.822,9266.573,9554.286,9785.84,9965.322,10101.697,10203.14
Kuwait,Country/Area,2821.041,2991.884,3168.054,3348.852,3526.382,3690.939,3835.588,3956.862,4056.102,4137.314,4207.077,4270.563
Lebanon,Country/Area,4813.026,4953.064,5202.022,5537.62,5913.016,6261.046,6532.681,6714.281,6819.373,6859.408,6855.709,6825.442
Oman,Country/Area,2876.186,3041.435,3251.102,3498.031,3764.805,4027.255,4267.341,4479.217,4665.926,4829.476,4974.992,5106.622
Qatar,Country/Area,1654.944,1856.329,2035.862,2196.078,2336.579,2459.202,2565.708,2654.379,2724.727,2781.682,2832.071,2881.06
Saudi Arabia,Country/Area,26630.303,27421.468,28267.591,29154.906,30052.058,30916.603,31717.676,32443.443,33101.183,33702.757,34268.529,34813.867
State of Palestine,Country/Area,3957.684,4055.632,4149.654,4241.572,4333.521,4428.634,4529.16,4635.644,4747.233,4862.978,4981.422,5101.416
Syrian Arab Republic,Country/Area,21205.873,21362.541,21081.814,20438.861,19578.466,18710.711,17997.411,17465.567,17095.669,16945.062,17070.132,17500.657
Turkey,Country/Area,71321.406,72326.992,73443.254,74651.046,75925.454,77229.262,78529.413,79827.868,81116.451,82340.09,83429.607,84339.067
United Arab Emirates,Country/Area,7917.368,8549.998,8946.778,9141.598,9197.908,9214.182,9262.896,9360.975,9487.206,9630.966,9770.526,9890.4
Yemen,Country/Area,22516.464,23154.854,23807.586,24473.176,25147.112,25823.488,26497.881,27168.21,27834.811,28498.683,29161.922,29825.968
Kazakhstan,Country/Area,16043.015,16252.273,16490.669,16751.523,17026.118,17302.619,17572.01,17830.902,18080.023,18319.616,18551.428,18776.707
Kyrgyzstan,Country/Area,5334.708,5422.298,5517.927,5621.583,5731.312,5844.521,5959.126,6074.327,6189.727,6304.025,6415.851,6524.191
Tajikistan,Country/Area,7364.752,7527.397,7697.507,7874.838,8059.782,8252.828,8454.019,8663.575,8880.27,9100.847,9321.023,9537.642
Turkmenistan,Country/Area,5007.953,5087.211,5174.076,5267.906,5366.376,5466.324,5565.283,5662.371,5757.667,5850.902,5942.094,6031.187
Uzbekistan,Country/Area,28065.469,28515.908,28977.006,29449.415,29932.63,30426.394,30929.556,31441.753,31959.774,32476.232,32981.715,33469.199
Afghanistan,Country/Area,28394.806,29185.511,30117.411,31161.378,32269.592,33370.804,34413.603,35383.028,36296.111,37171.922,38041.757,38928.341
Bangladesh,Country/Area,145924.795,147575.433,149273.134,151005.733,152761.413,154517.385,156256.287,157977.151,159685.421,161376.713,163046.173,164689.383
Bhutan,Country/Area,678.329,685.502,693.297,701.582,710.235,719.053,727.885,736.706,745.563,754.396,763.094,771.612
India,Country/Area,1217726.217,1234281.163,1250287.939,1265780.243,1280842.119,1295600.768,1310152.392,1324517.25,1338676.779,1352642.283,1366417.756,1380004.385
Iran (Islamic Republic of),Country/Area,72924.833,73762.519,74634.959,75539.881,76481.963,77465.769,78492.208,79563.991,80673.888,81800.204,82913.893,83992.953
Maldives,Country/Area,353.391,365.73,380.493,397.231,415.592,435.018,454.914,475.505,496.398,515.704,530.957,540.542
Nepal,Country/Area,26883.531,27013.207,27041.22,26989.16,26916.795,26905.982,27015.033,27263.43,27632.682,28095.712,28608.715,29136.808
Pakistan,Country/Area,175525.61,179424.643,183340.168,187280.125,191260.799,195305.012,199426.953,203631.356,207906.21,212228.288,216565.317,220892.331
